fid,crs28992re,num_inhabi,num_0_15,num_15_25,num_25_45,num_45_65,num_65+,per_dutch,per_west,per_nonwes,avg_woz,num_social,Dis_Bicycl,Dis_Bicy_1,Dis_Bowlin,Dis_Bowl_1,Dis_Cinema,Dis_Cine_1,Dis_CityOf,Dis_City_1,Dis_Doctor,Dis_Doct_1,Dis_IceCre,Dis_IceC_1,Dis_Librar,Dis_Libr_1,Dis_Market,Dis_Mark_1,Dis_MetroS,Dis_Metr_1,Dis_Park_C,Dis_Park_1,Dis_Playgr,Dis_Play_1,Dis_School,Dis_Scho_1,Dis_Superm,Dis_Supe_1,Dis_Swimmi,Dis_Swim_1,Dis_TramSt,Dis_Tram_1,INDEX_WALK,VALUEPET,num_inh_2,,CR_FOOT_I,Old People_per_old_65
119402,E1194N4846,100,15,20,15,30,20,70,10,20,463,10,10004.00076,100,10004.00076,100,0,0,0,0,10004.00076,100,10004.00076,100,10004.00076,100,0,0,9924.210374,99.20241523,10004.00076,100,0,0,10004.00076,100,10004.00076,100,0,0,10004.00076,100,0.67,67,100,100,1,20
119403,E1195N4846,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,1235,-99997,10004.00163,100,10003.21379,99.99212478,0,0,0,0,10004.00163,100,10004.00163,100,10004.00163,100,0,0,10004.00163,100,10004.00163,100,0,0,10004.00163,100,10004.00163,100,0,0,10004.00163,100,0.67,1.34,2,2,1,100
119404,E1196N4846,175,40,15,30,55,35,60,30,10,1266,5,10004.0025,100,2020.053075,20.19244872,0,0,0,0,10004.0025,100,10004.0025,100,10004.0025,100,0,0,10004.0025,100,10004.0025,100,0,0,10004.0025,100,10004.0025,100,0,0,10004.0025,100,0.61,106.75,175,175,1,20
119405,E1197N4846,145,25,20,30,50,15,60,30,10,1261,-99997,10004.00337,100,2593.942476,25.9290444,0,0,0,0,10004.00337,100,10004.00337,100,10004.00337,100,0,0,10004.00337,100,10004.00337,100,0,0,10004.00337,100,10004.00337,100,0,0,10004.00337,100,0.62,89.9,145,145,1,10
119406,E1198N4846,175,40,15,45,40,35,40,50,10,1059,10,10004.00423,100,6878.489135,68.7573593,0,0,0,0,10004.00423,100,10004.00423,100,10004.00423,100,0,0,10004.00423,100,10004.00423,100,0,0,10004.00423,100,10004.00423,100,0,0,10004.00423,100,0.65,113.75,175,175,1,20
119407,E1199N4846,145,35,10,25,45,30,60,30,10,1127,-99997,10004.0051,100,10004.0051,100,0,0,0,0,10004.0051,100,10004.0051,100,10004.0051,100,0,0,10004.0051,100,10004.0051,100,0,0,10004.0051,100,10004.0051,100,0,0,10004.0051,100,0.67,97.15,145,145,1,21
119408,E1200N4846,75,15,10,20,20,15,60,30,-99997,1162,-99997,10004.00596,100,7461.13718,74.58149479,0,0,0,0,10004.00596,100,10004.00596,100,10004.00596,100,0,0,10004.00596,100,10004.00596,100,6648.44414,66.45781869,10004.00596,100,10004.00596,100,0,0,10004.00596,100,0.69,51.75,75,75,1,20
119409,E1201N4846,95,20,10,25,25,20,70,30,10,1229,-99997,10004.00681,100,1381.680607,13.81127215,0,0,0,0,10004.00681,100,10004.00681,100,10004.00681,100,1222.715739,12.22226016,10004.00681,100,10004.00681,100,10004.00681,100,10004.00681,100,10004.00681,100,0,0,10004.00681,100,0.68,64.6,95,95,1,21
119410,E1202N4846,115,10,20,20,20,45,50,30,20,701,-99997,10004.00767,100,3543.942249,35.42522524,4135.752689,41.34095881,0,0,10004.00767,100,10004.00767,100,10004.00767,100,9772.003496,97.68088772,10004.00767,100,10004.00767,100,10004.00767,100,10004.00767,100,10004.00767,100,1370.593284,13.70044216,10004.00767,100,0.79,90.85,115,115,1,39
119411,E1203N4846,195,35,15,45,40,55,60,30,10,881,5,10004.00852,100,8350.548743,83.47202751,10004.00852,100,0,0,10004.00852,100,10004.00852,100,10004.00852,100,10004.00852,100,10004.00852,100,10004.00852,100,10004.00852,100,10004.00852,100,10004.00852,100,8342.600759,83.39257952,10004.00852,100,0.91,177.45,195,195,1,28
