fid,crs28992re,avg_woz,1COR_DEN_INDEX_WALK
"118040",E1235N4851,"595","1.00"
"118041",E1236N4851,"593","1.00"
"118042",E1237N4851,"645","1.00"
"118043",E1238N4851,"580","0.98"
"118044",E1239N4851,"478","0.93"
"118045",E1240N4851,"518","0.91"
"118046",E1241N4851,"667","0.86"
"118047",E1242N4851,"556","0.83"
"118048",E1243N4851,"655","0.79"
"118050",E1245N4851,"813","0.73"
"118051",E1246N4851,"719","0.73"
"118052",E1247N4851,"602","0.70"
"118053",E1248N4851,"664","0.68"
"121505",E1220N4838,"426","0.79"
"121504",E1219N4838,"382","0.76"
"121503",E1218N4838,"331","0.73"
"121502",E1217N4838,"421","0.73"
"121501",E1216N4838,"391","0.77"
"121500",E1215N4838,"470","0.84"
"121499",E1214N4838,"499","0.84"
"121498",E1213N4838,"526","0.83"
"121240",E1220N4839,"436","0.80"
"121239",E1219N4839,"389","0.80"
"121238",E1218N4839,"339","0.79"
"119690",E1220N4845,"457","0.87"
"119689",E1219N4845,"383","0.89"
"119688",E1218N4845,"407","0.99"
"119687",E1217N4845,"441","1.00"
"119686",E1216N4845,"392","1.00"
"119685",E1215N4845,"415","1.00"
"119684",E1214N4845,"538","1.00"
"119683",E1213N4845,"719","0.97"
"119682",E1212N4845,"624","0.94"
"119681",E1211N4845,"687","0.98"
"119680",E1210N4845,"651","1.00"
"119679",E1209N4845,"713","1.00"
"119678",E1208N4845,"812","0.99"
"120718",E1208N4841,"545","0.81"
"120719",E1209N4841,"552","0.90"
"120720",E1210N4841,"570","0.97"
"120721",E1211N4841,"608","0.96"
"120722",E1212N4841,"532","0.94"
"120723",E1213N4841,"574","0.93"
"120724",E1214N4841,"547","0.89"
"120725",E1215N4841,"614","0.82"
"120726",E1216N4841,"596","0.80"
"120727",E1217N4841,"616","0.84"
"120728",E1218N4841,"649","0.86"
"120729",E1219N4841,"527","0.90"
"120731",E1221N4841,"506","0.93"
"120732",E1222N4841,"545","0.88"
"120733",E1223N4841,"400","0.87"
"120734",E1224N4841,"420","0.87"
"120735",E1225N4841,"415","0.87"
"120736",E1226N4841,"409","0.87"
"120737",E1227N4841,"708","0.87"
"120738",E1228N4841,"576","0.81"
"120739",E1231N4841,"314","0.67"
"120740",E1232N4841,"311","0.69"
"120741",E1233N4841,"289","0.71"
"120742",E1234N4841,"312","0.73"
"120743",E1235N4841,"385","0.73"
"120744",E1236N4841,"346","0.73"
"120745",E1237N4841,"291","0.73"
"120746",E1238N4841,"299","0.71"
"122600",E1220N4833,"1602","0.80"
"122390",E1218N4834,"1010","0.80"
"122389",E1215N4834,"721","0.80"
"122178",E1218N4835,"657","0.77"
"122177",E1217N4835,"599","0.80"
"122174",E1214N4835,"1014","0.80"
"122173",E1213N4835,"410","0.80"
"121969",E1218N4836,"208","0.73"
"121968",E1217N4836,"564","0.76"
"121967",E1216N4836,"447","0.80"
"121966",E1215N4836,"468","0.80"
"121965",E1214N4836,"488","0.80"
"121964",E1213N4836,"597","0.80"
"121744",E1220N4837,"405","0.73"
"121743",E1219N4837,"388","0.73"
"121742",E1218N4837,"461","0.73"
"121741",E1217N4837,"422","0.73"
"121740",E1216N4837,"425","0.77"
"121739",E1215N4837,"413","0.80"
