fid,crs28992re,num_social,INDEX_WALK
"117382",E1218N4853,"35","0.93"
"117383",E1219N4853,"15","0.89"
"117384",E1220N4853,"30","0.87"
"117385",E1221N4853,"35","0.87"
"117387",E1223N4853,"15","0.80"
"117388",E1224N4853,"35","0.80"
"117389",E1225N4853,"10","0.80"
"117390",E1226N4853,"5","0.81"
"117391",E1227N4853,"30","0.83"
"117392",E1228N4853,"50","0.92"
"117393",E1229N4853,"25","0.95"
"117394",E1230N4853,"20","1.00"
"117395",E1231N4853,"35","1.00"
"117396",E1232N4853,"65","1.00"
"117397",E1233N4853,"30","1.00"
"117398",E1234N4853,"20","1.00"
"117399",E1235N4853,"40","1.00"
"117400",E1236N4853,"20","1.00"
"117401",E1237N4853,"10","0.97"
"117402",E1238N4853,"5","0.94"
"117403",E1239N4853,"10","0.95"
"117406",E1242N4853,"20","0.93"
"117407",E1243N4853,"10","0.93"
"117408",E1244N4853,"15","0.93"
"117409",E1245N4853,"10","0.93"
"117413",E1251N4853,"10","0.54"
"116736",E1215N4855,"30","0.93"
"116737",E1216N4855,"25","0.93"
"116738",E1217N4855,"40","0.93"
"116739",E1218N4855,"35","0.93"
"116740",E1219N4855,"45","0.93"
"116741",E1220N4855,"20","0.88"
"116742",E1221N4855,"5","0.88"
"116743",E1222N4855,"5","0.87"
"116744",E1223N4855,"20","0.81"
"116745",E1224N4855,"35","0.80"
"116746",E1225N4855,"45","0.80"
"116747",E1226N4855,"35","0.85"
"116748",E1227N4855,"65","0.87"
"116749",E1228N4855,"65","0.93"
"116750",E1229N4855,"80","0.94"
"116751",E1230N4855,"30","1.00"
"116752",E1231N4855,"50","1.00"
"116753",E1232N4855,"50","1.00"
"116754",E1233N4855,"25","1.00"
"116755",E1234N4855,"25","1.00"
"116756",E1235N4855,"10","1.00"
"116757",E1236N4855,"45","0.95"
"116758",E1237N4855,"15","0.93"
"116759",E1238N4855,"30","0.93"
"116760",E1239N4855,"105","0.93"
"116762",E1241N4855,"10","0.93"
"116763",E1242N4855,"10","0.93"
"116764",E1243N4855,"5","0.93"
"116766",E1246N4855,"5","0.93"
"116767",E1247N4855,"5","0.87"
"116768",E1248N4855,"15","0.82"
"117697",E1217N4852,"15","0.93"
"117698",E1218N4852,"45","0.93"
"117699",E1219N4852,"50","0.87"
"117700",E1220N4852,"65","0.87"
"117701",E1221N4852,"55","0.87"
"117702",E1222N4852,"5","0.82"
"117704",E1224N4852,"15","0.80"
"117705",E1225N4852,"25","0.80"
"117706",E1226N4852,"5","0.78"
"117707",E1227N4852,"25","0.82"
"117708",E1228N4852,"25","0.87"
"117709",E1229N4852,"40","0.92"
"117710",E1230N4852,"45","1.00"
"117711",E1231N4852,"15","1.00"
"117712",E1232N4852,"75","1.00"
"117713",E1233N4852,"45","0.99"
"117714",E1234N4852,"45","0.99"
"117715",E1235N4852,"35","1.00"
"117716",E1236N4852,"20","1.00"
"117717",E1237N4852,"15","1.00"
"117718",E1238N4852,"10","0.94"
"117719",E1239N4852,"5","0.93"
"117720",E1240N4852,"5","0.89"
"117721",E1241N4852,"10","0.88"
"117722",E1242N4852,"10","0.89"
"117724",E1244N4852,"10","0.91"
"117726",E1246N4852,"5","0.78"
"117727",E1247N4852,"5","0.76"
"117730",E1252N4852,"20","0.53"
"121510",E1225N4838,"10","0.80"
"121509",E1224N4838,"15","0.86"
"121508",E1223N4838,"20","0.83"
"121507",E1222N4838,"25","0.80"
"121506",E1221N4838,"20","0.80"
"121245",E1225N4839,"40","0.84"
"121244",E1224N4839,"15","0.82"
"121243",E1223N4839,"35","0.87"
"121242",E1222N4839,"25","0.84"
"121241",E1221N4839,"20","0.80"
"119696",E1228N4845,"10","0.81"
"119695",E1225N4845,"5","0.80"
"119694",E1224N4845,"35","0.81"
"119693",E1223N4845,"10","0.86"
"119692",E1222N4845,"45","0.87"
"119691",E1221N4845,"20","0.87"
