fid,crs28992re,1COR_DEN_INDEX_WALK,NUMNONWEST
"120987",E1223N4840,"0.84","20"
"120988",E1224N4840,"0.86","34"
"120989",E1225N4840,"0.87","21"
"120990",E1226N4840,"0.87","10"
"120992",E1228N4840,"0.77","16"
"120993",E1229N4840,"0.73","25"
"120995",E1232N4840,"0.67","20"
"120996",E1233N4840,"0.67","11"
"120997",E1234N4840,"0.67","18"
"120998",E1235N4840,"0.69","32"
"120999",E1236N4840,"0.70","27"
"121000",E1237N4840,"0.71","30"
"121001",E1238N4840,"0.64","9"
"117045",E1212N4854,"0.93","82"
"117046",E1213N4854,"0.93","120"
"117047",E1214N4854,"0.93","62"
"117048",E1215N4854,"0.93","72"
"117049",E1216N4854,"0.93","48"
"117050",E1217N4854,"0.93","52"
"117051",E1218N4854,"0.93","66"
"117052",E1219N4854,"0.91","46"
"117053",E1220N4854,"0.87","28"
"117054",E1221N4854,"0.87","18"
"117056",E1223N4854,"0.80","64"
"117057",E1224N4854,"0.80","84"
"117058",E1225N4854,"0.80","58"
"117059",E1226N4854,"0.83","58"
"117060",E1227N4854,"0.88","152"
"117061",E1228N4854,"0.93","153"
"117062",E1229N4854,"0.94","113"
"117063",E1230N4854,"1.00","123"
"117064",E1231N4854,"1.00","70"
"117065",E1232N4854,"1.00","57"
"117066",E1233N4854,"1.00","201"
"117067",E1234N4854,"1.00","154"
"117068",E1235N4854,"1.00","164"
"117069",E1236N4854,"0.96","96"
"117070",E1237N4854,"0.94","17"
"117071",E1238N4854,"0.94","8"
"117072",E1239N4854,"0.93","0"
"117073",E1240N4854,"0.93","45"
"117074",E1241N4854,"0.93","0"
"117075",E1242N4854,"0.93","21"
"117076",E1243N4854,"0.93","20"
"117077",E1244N4854,"0.93","20"
"117079",E1249N4854,"0.70","29"
"117080",E1250N4854,"0.65","47"
"117081",E1251N4854,"0.59","11"
"117376",E1212N4853,"0.93","105"
"117377",E1213N4853,"0.93","59"
"117378",E1214N4853,"0.93","25"
"117379",E1215N4853,"0.93","12"
"117380",E1216N4853,"0.93","5"
"117381",E1217N4853,"0.93","23"
"117382",E1218N4853,"0.93","48"
"117383",E1219N4853,"0.89","42"
"117384",E1220N4853,"0.87","31"
"117385",E1221N4853,"0.87","86"
"117387",E1223N4853,"0.80","55"
"117388",E1224N4853,"0.80","113"
"117389",E1225N4853,"0.80","39"
"117390",E1226N4853,"0.81","9"
"117391",E1227N4853,"0.83","55"
"117392",E1228N4853,"0.92","88"
"117393",E1229N4853,"0.95","50"
"117394",E1230N4853,"1.00","60"
"117395",E1231N4853,"1.00","118"
"117396",E1232N4853,"1.00","160"
"117397",E1233N4853,"1.00","98"
"117398",E1234N4853,"1.00","62"
"117399",E1235N4853,"1.00","66"
"117400",E1236N4853,"1.00","54"
"117401",E1237N4853,"0.97","21"
"117402",E1238N4853,"0.94","12"
"117403",E1239N4853,"0.95","0"
"117404",E1240N4853,"0.93","0"
"117405",E1241N4853,"0.93","17"
"117406",E1242N4853,"0.93","21"
"117407",E1243N4853,"0.93","40"
"117408",E1244N4853,"0.93","21"
"117409",E1245N4853,"0.93","35"
"117410",E1246N4853,"0.88","8"
"117412",E1250N4853,"0.62","25"
"117413",E1251N4853,"0.54","112"
"116736",E1215N4855,"0.93","57"
"116737",E1216N4855,"0.93","35"
"116738",E1217N4855,"0.93","60"
"116739",E1218N4855,"0.93","29"
"116740",E1219N4855,"0.93","37"
"116741",E1220N4855,"0.88","34"
"116742",E1221N4855,"0.88","8"
"116744",E1223N4855,"0.81","25"
"116745",E1224N4855,"0.80","39"
"116746",E1225N4855,"0.80","123"
"116747",E1226N4855,"0.85","75"
"116748",E1227N4855,"0.87","165"
"116749",E1228N4855,"0.93","138"
"116750",E1229N4855,"0.94","198"
"116751",E1230N4855,"1.00","108"
"116752",E1231N4855,"1.00","132"
"116753",E1232N4855,"1.00","118"
"116754",E1233N4855,"1.00","29"
"116755",E1234N4855,"1.00","72"
"116756",E1235N4855,"1.00","41"
"116757",E1236N4855,"0.95","65"
"116758",E1237N4855,"0.93","35"
