fid,crs28992re,INDEX_WALK,num_inh_2
"116740",E1219N4855,"0.93","365"
"116741",E1220N4855,"0.88","340"
"116742",E1221N4855,"0.88","75"
"116743",E1222N4855,"0.87","70"
"116744",E1223N4855,"0.81","245"
"116745",E1224N4855,"0.80","390"
"116746",E1225N4855,"0.80","245"
"116747",E1226N4855,"0.85","250"
"116748",E1227N4855,"0.87","275"
"116749",E1228N4855,"0.93","275"
"116750",E1229N4855,"0.94","330"
"116751",E1230N4855,"1.00","270"
"116752",E1231N4855,"1.00","440"
"116753",E1232N4855,"1.00","295"
"116754",E1233N4855,"1.00","95"
"116755",E1234N4855,"1.00","120"
"116756",E1235N4855,"1.00","205"
"116757",E1236N4855,"0.95","215"
"116758",E1237N4855,"0.93","175"
"116759",E1238N4855,"0.93","210"
"116760",E1239N4855,"0.93","170"
"116761",E1240N4855,"0.93","80"
"116762",E1241N4855,"0.93","125"
"116763",E1242N4855,"0.93","105"
"116764",E1243N4855,"0.93","145"
"116765",E1244N4855,"0.93","15"
"116766",E1246N4855,"0.93","75"
"116767",E1247N4855,"0.87","75"
"116768",E1248N4855,"0.82","305"
"116769",E1249N4855,"0.73","420"
"116770",E1250N4855,"0.65","50"
"117696",E1216N4852,"0.93","50"
"117697",E1217N4852,"0.93","220"
"117698",E1218N4852,"0.93","360"
"117699",E1219N4852,"0.87","305"
"117700",E1220N4852,"0.87","360"
"117701",E1221N4852,"0.87","295"
"117702",E1222N4852,"0.82","95"
"117703",E1223N4852,"0.80","5"
"117704",E1224N4852,"0.80","240"
"117705",E1225N4852,"0.80","210"
"117706",E1226N4852,"0.78","50"
"117707",E1227N4852,"0.82","555"
"117708",E1228N4852,"0.87","85"
"117709",E1229N4852,"0.92","245"
"117710",E1230N4852,"1.00","325"
"117711",E1231N4852,"1.00","115"
"117712",E1232N4852,"1.00","400"
"117713",E1233N4852,"0.99","220"
"117714",E1234N4852,"0.99","225"
"117715",E1235N4852,"1.00","170"
"117716",E1236N4852,"1.00","180"
"117717",E1237N4852,"1.00","190"
"117718",E1238N4852,"0.94","150"
"117719",E1239N4852,"0.93","170"
"117720",E1240N4852,"0.89","160"
"117721",E1241N4852,"0.88","185"
"117722",E1242N4852,"0.89","165"
"117723",E1243N4852,"0.90","95"
"117724",E1244N4852,"0.91","90"
"117725",E1245N4852,"0.83","70"
"117726",E1246N4852,"0.78","125"
"117727",E1247N4852,"0.76","155"
"117728",E1248N4852,"0.73","20"
"117729",E1251N4852,"0.53","25"
"117730",E1252N4852,"0.53","320"
"121511",E1227N4838,"0.74","10"
"121510",E1225N4838,"0.80","155"
"121509",E1224N4838,"0.86","295"
"121508",E1223N4838,"0.83","240"
"121507",E1222N4838,"0.80","270"
"121506",E1221N4838,"0.80","260"
"121248",E1229N4839,"0.73","10"
