fid,crs28992re,FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_FMC_INDEX_SOC_Num_65+rea
"119156",E1217N4847,"45","45"
"119157",E1218N4847,"45","45"
"119158",E1219N4847,"55","55"
"119159",E1220N4847,"25","25"
"119160",E1221N4847,"45","45"
"119161",E1222N4847,"30","30"
"119162",E1223N4847,"30","30"
"119163",E1224N4847,"20","20"
"119164",E1226N4847,"15","15"
"119165",E1227N4847,"15","15"
"119166",E1230N4847,"15","15"
"119167",E1231N4847,"2","2"
"119168",E1232N4847,"2","2"
"119169",E1233N4847,"2","2"
"119170",E1240N4847,"2","2"
"119171",E1241N4847,"5","5"
"119172",E1242N4847,"5","5"
"119173",E1243N4847,"25","25"
"119174",E1244N4847,"15","15"
"119175",E1245N4847,"10","10"
"119176",E1246N4847,"15","15"
"119177",E1247N4847,"15","15"
"120976",E1212N4840,"20","20"
"120977",E1213N4840,"35","35"
"120978",E1214N4840,"20","20"
"120979",E1215N4840,"10","10"
"120980",E1216N4840,"35","35"
"120981",E1217N4840,"45","45"
"120982",E1218N4840,"25","25"
"120983",E1219N4840,"30","30"
"120984",E1220N4840,"5","5"
"120985",E1221N4840,"20","20"
"120986",E1222N4840,"30","30"
"120987",E1223N4840,"15","15"
"120988",E1224N4840,"35","35"
"120989",E1225N4840,"35","35"
"120990",E1226N4840,"10","10"
"120991",E1227N4840,"2","2"
"120992",E1228N4840,"25","25"
"120993",E1229N4840,"5","5"
"120994",E1231N4840,"2","2"
"120995",E1232N4840,"20","20"
"120996",E1233N4840,"5","5"
"120997",E1234N4840,"25","25"
"120998",E1235N4840,"20","20"
"120999",E1236N4840,"15","15"
"121000",E1237N4840,"20","20"
"121001",E1238N4840,"2","2"
"117045",E1212N4854,"25","25"
"117046",E1213N4854,"35","35"
"117047",E1214N4854,"25","25"
"117048",E1215N4854,"40","40"
"117049",E1216N4854,"30","30"
"117050",E1217N4854,"40","40"
"117051",E1218N4854,"25","25"
"117052",E1219N4854,"15","15"
"117053",E1220N4854,"20","20"
"117054",E1221N4854,"95","95"
"117055",E1222N4854,"2","2"
"117056",E1223N4854,"35","35"
"117057",E1224N4854,"30","30"
"117058",E1225N4854,"15","15"
"117059",E1226N4854,"15","15"
"117060",E1227N4854,"35","35"
"117061",E1228N4854,"40","40"
"117062",E1229N4854,"35","35"
"117063",E1230N4854,"25","25"
"117064",E1231N4854,"15","15"
"117065",E1232N4854,"15","15"
"117066",E1233N4854,"30","30"
"117067",E1234N4854,"30","30"
"117068",E1235N4854,"35","35"
"117069",E1236N4854,"20","20"
"117070",E1237N4854,"20","20"
"117071",E1238N4854,"20","20"
"117072",E1239N4854,"15","15"
"117073",E1240N4854,"25","25"
"117074",E1241N4854,"20","20"
