fid,crs28992re,num_nonwes
"121969",E1218N4836,71.000
"121968",E1217N4836,11.000
"121967",E1216N4836,19.000
"121966",E1215N4836,25.000
"121965",E1214N4836,31.000
"121964",E1213N4836,38.000
"121744",E1220N4837,33.000
"121742",E1218N4837,30.000
"121741",E1217N4837,9.000
"121740",E1216N4837,6.500
"121739",E1215N4837,6.500
"121737",E1213N4837,16.500
"122604",E1226N4833,31.000
"122820",E1226N4832,15.000
"122821",E1227N4832,36.000
"123040",E1209N4831,55.500
"119414",E1209N4846,37.000
"119415",E1210N4846,35.000
"119416",E1211N4846,57.000
"119417",E1214N4846,31.500
"119418",E1215N4846,57.000
"119419",E1216N4846,36.000
"119420",E1217N4846,4.500
"119421",E1218N4846,11.000
"119422",E1219N4846,66.000
"119423",E1220N4846,34.000
"119424",E1221N4846,23.500
"119425",E1222N4846,97.500
"119426",E1223N4846,44.000
"119427",E1224N4846,42.000
"119429",E1226N4846,10.500
"119431",E1230N4846,13.000
"119432",E1231N4846,13.000
"119433",E1232N4846,110.000
"119434",E1233N4846,31.000
"119435",E1240N4846,13.500
"119436",E1241N4846,20.000
"119437",E1242N4846,34.500
"119438",E1243N4846,8.500
"119439",E1244N4846,33.000
"119440",E1245N4846,40.000
"119441",E1246N4846,24.000
"119148",E1209N4847,79.500
"119149",E1210N4847,42.000
"119150",E1211N4847,23.000
"119151",E1212N4847,36.000
"119152",E1213N4847,28.000
"119153",E1214N4847,16.000
"119154",E1215N4847,61.000
"119155",E1216N4847,35.000
"119156",E1217N4847,18.500
"119157",E1218N4847,15.500
"119158",E1219N4847,63.000
"119159",E1220N4847,47.000
"119160",E1221N4847,44.000
"119161",E1222N4847,30.000
"119162",E1223N4847,17.000
"119163",E1224N4847,23.000
"119164",E1226N4847,36.000
"119165",E1227N4847,88.500
"119166",E1230N4847,171.000
"119167",E1231N4847,108.000
"119168",E1232N4847,24.000
"119169",E1233N4847,102.000
"119171",E1241N4847,22.000
"119172",E1242N4847,14.000
"119173",E1243N4847,28.000
"119174",E1244N4847,27.000
"119175",E1245N4847,17.000
"119176",E1246N4847,32.000
"119177",E1247N4847,34.500
"120976",E1212N4840,29.000
"120977",E1213N4840,75.000
"120978",E1214N4840,73.500
"120979",E1215N4840,52.500
"120980",E1216N4840,36.000
"120981",E1217N4840,31.000
"120982",E1218N4840,16.000
"120983",E1219N4840,97.500
"120984",E1220N4840,8.000
"120985",E1221N4840,48.000
"120986",E1222N4840,44.000
"120987",E1223N4840,39.000
"120988",E1224N4840,34.000
"120989",E1225N4840,41.000
"120990",E1226N4840,9.500
"120992",E1228N4840,24.000
"120993",E1229N4840,50.000
"120995",E1232N4840,-49998.500
"120996",E1233N4840,11.000
"120997",E1234N4840,17.500
"120998",E1235N4840,32.000
"120999",E1236N4840,18.000
"121000",E1237N4840,7.500
"121001",E1238N4840,-14999.550
"117045",E1212N4854,123.000
"117046",E1213N4854,60.000
"117047",E1214N4854,93.000
"117048",E1215N4854,108.000
"117049",E1216N4854,72.000
"117050",E1217N4854,78.000
"117051",E1218N4854,99.000
"117052",E1219N4854,69.000
"117053",E1220N4854,55.000
"117054",E1221N4854,35.000
"117056",E1223N4854,96.000
"117057",E1224N4854,42.000
"117058",E1225N4854,58.000
"117059",E1226N4854,29.000
"117060",E1227N4854,76.000
"117061",E1228N4854,30.500
"117062",E1229N4854,75.000
"117063",E1230N4854,49.000
"117064",E1231N4854,10.000
"117065",E1232N4854,9.500
"117066",E1233N4854,67.000
"117067",E1234N4854,77.000
"117068",E1235N4854,82.000
"117069",E1236N4854,24.000
"117070",E1237N4854,51.000
"117071",E1238N4854,22.500
"117072",E1239N4854,33.000
"117073",E1240N4854,45.000
"117074",E1241N4854,28.000
"117075",E1242N4854,42.000
"117076",E1243N4854,19.500
"117077",E1244N4854,40.000
"117079",E1249N4854,87.000
"117080",E1250N4854,141.000
"117081",E1251N4854,33.000
"117376",E1212N4853,105.000
"117377",E1213N4853,59.000
"117378",E1214N4853,73.500
"117379",E1215N4853,23.000
"117380",E1216N4853,10.000
"117381",E1217N4853,69.000
"117382",E1218N4853,48.000
"117383",E1219N4853,84.000
"117384",E1220N4853,46.500
"117385",E1221N4853,57.000
"117387",E1223N4853,11.000
"117388",E1224N4853,22.500
"117389",E1225N4853,26.000
"117390",E1226N4853,-14999.550
"117391",E1227N4853,11.000
"117392",E1228N4853,44.000
"117393",E1229N4853,20.000
"117394",E1230N4853,15.000
"117395",E1231N4853,47.000
"117396",E1232N4853,64.000
"117397",E1233N4853,73.500
"117398",E1234N4853,41.000
"117399",E1235N4853,66.000
"117400",E1236N4853,54.000
"117401",E1237N4853,31.500
"117402",E1238N4853,11.500
"117403",E1239N4853,20.500
"117404",E1240N4853,27.000
"117405",E1241N4853,34.000
"117406",E1242N4853,42.000
"117407",E1243N4853,40.000
"117408",E1244N4853,42.000
"117409",E1245N4853,35.000
"117410",E1246N4853,24.000
"117412",E1250N4853,75.000
"117413",E1251N4853,112.000
"116736",E1215N4855,85.500
"116737",E1216N4855,35.000
"116738",E1217N4855,90.000
"116739",E1218N4855,87.000
"116740",E1219N4855,109.500
"116741",E1220N4855,102.000
"116742",E1221N4855,22.500
"116744",E1223N4855,73.500
"116745",E1224N4855,117.000
"116746",E1225N4855,49.000
"116747",E1226N4855,50.000
"116748",E1227N4855,27.500
"116749",E1228N4855,27.500
"116750",E1229N4855,33.000
"116751",E1230N4855,54.000
"116752",E1231N4855,88.000
"116753",E1232N4855,88.500
"116754",E1233N4855,28.500
"116755",E1234N4855,12.000
"116756",E1235N4855,41.000
"116757",E1236N4855,43.000
"116758",E1237N4855,52.500
"116759",E1238N4855,42.000
"116760",E1239N4855,17.000
"116762",E1241N4855,12.500
"116763",E1242N4855,21.000
"116764",E1243N4855,29.000
"116766",E1246N4855,15.000
"116767",E1247N4855,22.500
"116768",E1248N4855,91.500
"116769",E1249N4855,168.000
"116770",E1250N4855,15.000
"117697",E1217N4852,66.000
"117698",E1218N4852,108.000
"117699",E1219N4852,61.000
"117700",E1220N4852,72.000
"117701",E1221N4852,59.000
"117702",E1222N4852,19.000
"117704",E1224N4852,48.000
"117705",E1225N4852,63.000
"117706",E1226N4852,10.000
"117707",E1227N4852,333.000
"117708",E1228N4852,8.500
"117709",E1229N4852,24.500
"117710",E1230N4852,65.000
"117711",E1231N4852,11.500
"117712",E1232N4852,40.000
"117713",E1233N4852,22.000
"117714",E1234N4852,45.000
"117715",E1235N4852,34.000
"117716",E1236N4852,54.000
"117717",E1237N4852,57.000
"117718",E1238N4852,45.000
"117719",E1239N4852,51.000
"117720",E1240N4852,32.000
"117721",E1241N4852,37.000
"117722",E1242N4852,33.000
"117724",E1244N4852,18.000
"117726",E1246N4852,12.500
"117727",E1247N4852,31.000
"117730",E1252N4852,96.000
"121510",E1225N4838,15.500
"121509",E1224N4838,59.000
"121508",E1223N4838,24.000
"121507",E1222N4838,81.000
"121506",E1221N4838,52.000
"121246",E1226N4839,19.000
"121245",E1225N4839,56.000
"121244",E1224N4839,55.000
"121243",E1223N4839,59.000
"121242",E1222N4839,22.500
"121241",E1221N4839,15.000
"119696",E1228N4845,15.000
"119695",E1225N4845,12.000
"119694",E1224N4845,60.000
"119693",E1223N4845,63.000
"119692",E1222N4845,60.000
"119691",E1221N4845,22.500
"122398",E1238N4834,11.500
"122397",E1237N4834,24.000
"122394",E1231N4834,70.000
"122393",E1230N4834,39.000
"122185",E1232N4835,43.000
"122184",E1231N4835,86.000
"122183",E1230N4835,66.000
"122182",E1229N4835,24.000
"121975",E1231N4836,126.000
"121974",E1230N4836,29.000
"121973",E1229N4836,18.000
"121972",E1228N4836,23.000
"121752",E1232N4837,51.000
"121751",E1231N4837,59.000
"121750",E1230N4837,24.000
"121748",E1224N4837,24.000
"121747",E1223N4837,25.500
"121746",E1222N4837,7.000
"121745",E1221N4837,42.000
"122822",E1236N4832,14.000
"119697",E1232N4845,31.000
"119958",E1232N4844,45.000
"119698",E1233N4845,9.000
"119959",E1233N4844,32.000
"120216",E1233N4843,11.000
"119699",E1234N4845,16.000
"119960",E1234N4844,9.000
"119700",E1238N4845,-34998.950
"119961",E1238N4844,5.500
"119701",E1239N4845,19.000
"119962",E1239N4844,11.500
"120219",E1239N4843,6.000
"119702",E1240N4845,13.000
"119963",E1240N4844,9.000
"120220",E1240N4843,8.000
"120485",E1240N4842,-74997.750
"119703",E1241N4845,-19999.400
"119964",E1241N4844,20.000
"120221",E1241N4843,15.500
"120486",E1241N4842,12.000
"120748",E1241N4841,-29999.100
"119704",E1242N4845,5.000
"119965",E1242N4844,33.000
"120222",E1242N4843,58.500
"120487",E1242N4842,16.500
"119705",E1243N4845,40.500
"119966",E1243N4844,13.000
"120223",E1243N4843,-49998.500
"119706",E1244N4845,34.500
"119967",E1244N4844,11.000
"119707",E1245N4845,9.000
"121249",E1233N4839,11.000
"121250",E1234N4839,17.000
"121251",E1235N4839,35.000
"121252",E1236N4839,-39998.800
"119968",E1246N4844,11.000
"121512",E1232N4838,81.000
"121514",E1234N4838,16.000
"121515",E1235N4838,-99997.000
"121517",E1246N4838,10.000
"125221",E1244N4820,7.500
"123273",E1243N4830,11.000
"127942",E1251N4806,8.500
"127733",E1252N4807,-59998.200
"127943",E1252N4806,8.000
"128360",E1252N4804,9.000
"127521",E1253N4808,-119996.400
"127316",E1253N4809,122.000
"127734",E1253N4807,5.000
"128145",E1253N4805,25.000
"128361",E1253N4804,65.000
"128577",E1253N4803,10.000
"129043",E1253N4801,64.000
"129286",E1253N4800,97.500
"127522",E1254N4808,20.500
"127317",E1254N4809,7.000
"127735",E1254N4807,0.000
"127944",E1254N4806,18.000
"128146",E1254N4805,46.500
"128362",E1254N4804,12.500
"128578",E1254N4803,20.000
"128815",E1254N4802,0.000
"129044",E1254N4801,-34998.950
"129287",E1254N4800,70.000
"129545",E1254N4799,23.000
"129801",E1254N4798,0.000
"125582",E1247N4818,-29999.100
"125583",E1248N4818,24.000
"125584",E1249N4818,48.000
"125585",E1250N4818,8.500
"125397",E1247N4819,19.500
"125398",E1248N4819,29.000
"125399",E1249N4819,21.000
"125400",E1250N4819,52.000
"125222",E1247N4820,-14999.550
"125223",E1248N4820,40.000
"125224",E1249N4820,55.000
"125225",E1250N4820,54.000
"125042",E1249N4821,7.000
"125043",E1250N4821,16.000
"124715",E1249N4823,30.000
"125749",E1246N4817,27.000
"125748",E1245N4817,-79997.600
"125944",E1246N4816,11.000
"125943",E1245N4816,0.000
"126144",E1246N4815,17.500
"126143",E1245N4815,-39998.800
"126339",E1246N4814,22.500
"126338",E1245N4814,6.000
"126539",E1246N4813,14.000
"127096",E1248N4810,29.000
"127097",E1249N4810,28.000
"127098",E1250N4810,37.000
"127315",E1249N4809,171.500
"122187",E1245N4835,13.000
"122188",E1246N4835,14.500
"122189",E1247N4835,11.000
"122190",E1248N4835,12.000
"122191",E1249N4835,-44998.650
"122192",E1250N4835,8.000
"121976",E1245N4836,8.500
"121977",E1246N4836,20.000
"121978",E1247N4836,7.000
"121979",E1248N4836,27.000
"121980",E1249N4836,7.000
"121981",E1250N4836,-84997.450
"121982",E1251N4836,10.000
"121755",E1245N4837,5.000
"121756",E1246N4837,9.000
"121757",E1247N4837,9.000
"121758",E1248N4837,11.000
"121759",E1249N4837,15.000
"121760",E1250N4837,25.000
"121518",E1247N4838,8.500
"121519",E1248N4838,13.500
"121520",E1249N4838,12.500
"121521",E1250N4838,23.000
"121254",E1247N4839,5.500
"121255",E1248N4839,17.000
"121256",E1249N4839,14.000
"121257",E1250N4839,18.000
"121002",E1248N4840,15.000
"121003",E1249N4840,7.500
"121004",E1250N4840,11.500
"120749",E1248N4841,-29999.100
"120750",E1249N4841,14.000
"122399",E1246N4834,-9999.700
"122400",E1247N4834,-34998.950
"122401",E1248N4834,-14999.550
"126896",E1247N4811,22.000
"126719",E1247N4812,24.500
"126540",E1247N4813,23.500
"125750",E1247N4817,24.500
"125945",E1247N4816,15.000
"126145",E1247N4815,23.500
"126340",E1247N4814,27.500
"126897",E1248N4811,12.000
"126720",E1248N4812,28.500
"126541",E1248N4813,23.000
"125751",E1248N4817,8.000
"125946",E1248N4816,5.500
"126146",E1248N4815,20.500
"126341",E1248N4814,39.000
"126898",E1249N4811,21.500
"126721",E1249N4812,8.500
"126542",E1249N4813,36.000
"125752",E1249N4817,5.500
"125947",E1249N4816,-24999.250
"126342",E1249N4814,-54998.350
"126899",E1250N4811,6.000
"126722",E1250N4812,-19999.400
"125753",E1250N4817,-59998.200
"120710",E1195N4841,20.000
"120450",E1202N4842,21.000
"120449",E1201N4842,51.000
"120448",E1200N4842,22.000
"120447",E1199N4842,33.000
"120446",E1198N4842,60.000
"120445",E1197N4842,66.000
"120444",E1196N4842,87.000
"120443",E1195N4842,39.000
"119675",E1204N4845,24.000
"119673",E1202N4845,43.500
"119672",E1201N4845,72.000
"119671",E1200N4845,68.000
"119670",E1199N4845,62.000
"119669",E1198N4845,69.000
"119668",E1197N4845,50.000
"119667",E1196N4845,33.000
"125216",E1206N4820,4.000
"125215",E1205N4820,42.000
"125214",E1204N4820,48.000
"125213",E1203N4820,4.000
"125212",E1202N4820,52.500
"125211",E1201N4820,11.500
"125210",E1200N4820,28.500
"125209",E1199N4820,62.000
"125208",E1198N4820,21.000
"125207",E1197N4820,58.500
"125038",E1210N4821,5.000
"125037",E1209N4821,39.000
"125036",E1208N4821,19.000
"125035",E1207N4821,21.000
"125034",E1206N4821,24.000
"125033",E1205N4821,107.500
"125032",E1204N4821,22.000
"125031",E1203N4821,32.000
"125030",E1202N4821,60.000
"125029",E1201N4821,17.500
"125028",E1200N4821,16.000
"125027",E1199N4821,45.000
"125026",E1198N4821,48.000
"125025",E1197N4821,36.000
"124873",E1208N4822,33.000
"124872",E1207N4822,7.500
"124871",E1206N4822,34.500
"124870",E1205N4822,112.000
"124869",E1204N4822,27.000
"124868",E1202N4822,42.000
"124867",E1201N4822,39.000
"124866",E1200N4822,56.000
"124865",E1199N4822,46.500
"125217",E1207N4820,21.000
"125218",E1208N4820,6.000
"125219",E1209N4820,7.000
"120456",E1209N4842,41.000
"120457",E1210N4842,50.000
"120458",E1211N4842,43.000
"120459",E1212N4842,43.000
"120461",E1214N4842,32.000
"120462",E1215N4842,84.000
"120463",E1216N4842,50.000
"120464",E1217N4842,57.000
"120465",E1218N4842,51.000
"120466",E1219N4842,15.000
"120467",E1220N4842,58.500
"120468",E1221N4842,39.000
"120469",E1222N4842,42.000
"120470",E1223N4842,35.000
"120471",E1224N4842,14.500
"120472",E1225N4842,29.000
"120473",E1226N4842,16.000
"120474",E1227N4842,8.000
"120475",E1228N4842,68.000
"120477",E1230N4842,104.000
"120478",E1231N4842,-49998.500
"120479",E1232N4842,11.500
"120480",E1233N4842,12.000
"120481",E1234N4842,23.000
"120483",E1236N4842,15.000
"120484",E1237N4842,-24999.250
"126717",E1223N4812,5.000
"123255",E1154N4830,10.000
"121485",E1155N4838,-14999.550
"121209",E1160N4839,-19999.400
"121205",E1154N4839,-29999.100
"120953",E1162N4840,-49998.500
"120952",E1161N4840,18.000
"120951",E1160N4840,9.000
"120950",E1159N4840,18.000
"120949",E1158N4840,6.500
"120948",E1157N4840,13.000
"120947",E1156N4840,13.000
"120946",E1155N4840,19.000
"120945",E1154N4840,8.500
"120689",E1156N4841,12.000
"120688",E1155N4841,39.000
"120687",E1154N4841,21.000
"120419",E1156N4842,17.000
"120418",E1155N4842,20.000
"120417",E1154N4842,-59998.200
"125929",E1191N4816,6.000
"125562",E1193N4818,17.500
"125375",E1189N4819,14.000
"125376",E1190N4819,49.500
"125377",E1191N4819,16.500
"125199",E1188N4820,32.000
"125200",E1189N4820,17.000
"125201",E1190N4820,45.000
"125202",E1191N4820,16.000
"125018",E1189N4821,36.000
"125019",E1190N4821,57.000
